master_line,family,subfamily,category,product_id,description
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010959,"TALADRO ROTOMARTILLO 52MM (2"") 1500W V.V. SDS MAX 11.3KG MAKITA HR5202C"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010960,TALADRO ROTOMARTILLO SDS MAX 11KGR 1500W DEWALT D25900K 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010961,"TALADRO ROTOMARTILLO 2"" 1510W MAKITA HR5212C"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010962,"TALADRO PERCUTOR INALAMBRICO 18V 2 BATERIAS 3AH C/CARGADOR 1/2"" MAKITA DHP458RFE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010963,TALADRO PERCUTOR INALAMBRICO CORDLESS BRUSHLESS HAMMER DRILL/DRIVER (BARE TOOL) M18 FUEL 18V 1/2 MILWAUKEE 2804-20
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010964,"TALADRO PORTATIL + BATERIA Y CARGADOR 18V  XRP DRILL/DRIVER KIT 1/2"" DEWALT DCD940KX "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010965,TALADRO PERCUTOR 13MM 18V BOSCH + SET DE 103 PZAS BOSCH GSB 180 LI
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010966,TALADRO INALAMBRICO 18V. - INC. 2 BAT+ 01 CARGAD. + ESTUCHE SNAP ON CDR8850HK2
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010967,"TALADRO ATORNILLADOR DE IMP GSB 18V-150 C, 18V SB BOSCH"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010968,"TALADRO INALAMBRICO 18V 450W 1/2"" (13MM) DEWALT DCD950KX "
